========================================================================
TRANSCRIPTION REPORT
========================================================================
Fine-tuned model : ./whisper-merged-ar-ps
Baseline model   : openai/whisper-large-v3
Audio directory  : data/audio
Lectures         : 2
Total segments   : 200

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Lecture : NLP_20260221
  Segments total  : 121
  Flagged         : 4
  Duration        : 2657.1 s
  Segs w/ ref     : 121

  Model                      WER (raw)   WER (norm)  CER (raw)
  ───────────────────────── ────────── ──────────── ──────────
  Baseline (large-v3)           0.7493       0.6305     0.4969
  Fine-tuned                    0.4138       0.2999     0.1729
  Improvement                  +0.3355      +0.3306    +0.3240

  Auto-flagged segments:
    segment_162: ['no_arabic (arabic_ratio=0.00)']
    segment_171: ['too_sparse (wps=0.28)', 'high_cer (cer=1.31)']
    segment_202: ['empty_transcript', 'too_sparse (wps=0.05)', 'high_cer (cer=0.95)']
    segment_224: ['repetition_loop (ratio=0.74)', 'high_cer (cer=0.97)']

  Segment details:
  ID                   Dur(s)   WER-FT   WER-BL   CER-FT  Flag
  probability بالعادة مش راح يفيدك في الـ classification، ‫لما تحديداً
  متستخدمين إيه فقط؟ ‫احتمال صغير، أوكي. لأنه هو هذا الـ probability
  إلها إذا حسبت، واتعاملت معها زي ما كنت تتعامل مع الـ zero
  probabilities، بتعطيها 1 على عدد، مثلاً probability قليلة، رح تكون
  موجودة في كل classes. كل classes، سواء c1 أو c2 أو c3، رح يلغوا بعض،
  النفس القيمة رح يأخذوا عند كل classes، فمش راح يكون إلهم تأثير على
  النتيجة النهائية. stop words، بجمعنا بكلك يعني فيه شغلات إنت ممكن برضه
  تأخذها مع الإعتبار حسب الـ classification task اللي بينديك، مثلاً stop
  words stop words هي كلمات بتتكرر كثير معنى لكل لغة فيها list في stop
  words زي إيش stop words؟ stop words. the هي شي الاخرى. هذولا بعبروش
  عبالعادة عن المعنى وبتكرروا كثير في كل document. يعني كلمة the تقريباً
  بتتكرر في كل الـ document صح؟ فهل بالك رح تكون لها أثر في تحديد class؟
  كيد لا، وممكن جهل. ‫ممكن ينجحل. ‫أخدتوا برضه كيف ممكن أنت تستعيض عن
  predefined list of stop words؟ ‫الجميع أخذوا knowledge representation.
  ‫كلكم أخدتوا knowledge representation صح؟ ‫أخدتوا TF, IDF. TF-IDF؟ مين
  بيحكيلي كيف ممكن يساعدني TF-IDF؟ أو أنولي اللي ممكن يساعدني في أي
  الجزئين هدول إني أستعيد عن stop words من خلاله؟ شو رايكم؟ تتذكروا؟
  تتذكروا؟ اللي هي رتبت كم من التنمية بس الـ 3، لأن كانت كيف الـ
  distribution دبع على الـ 1% و الـ 4%؟ بالضبط، هذا إنّا بتحكي عن إيش؟
  عن الـ IDF. IDF. آه، إذاً الـ IDF مهم بالنسبة إلنا هون في هذا الصياق،
  ليه؟ لأن شو الـ IDF بيحط وعطيك؟ أعطيك، أعطيك قيمة قليلة كثير إذا كانت
  الكلمة موجودة في كل الـ documents تقريباً، إذا كانت، هو فعلياً راح
  أعطيك 0 إذا كانت موجودة في كل الـ documents، فدائماً الـ IDF لدّة 0،
  معناته أنا ممكن أستخدم هذا الـ metric، الـ term metric، عشان عشان
  أستعين عن stop، يعني بدل ما تعطيني اللغة العربية stop words، أو اللغة
  الـ Chinese stop words، تقول لي هدول stop words هون هنالك، ممكن أنا
  أستخدم الـ IDF وأستغن عن هاي الشيء، طبعاً يعني هاي الشغلة. طبعاً هاد
  راجعوه لأنه رح يلزمنا الـ TF-IDF اللي أخدتوه في الـ knowledge
  representation، كيف رح يلزمنا؟ أنه another important method for
  feature representation لكل document، صح ولا لا؟ صح ولا لا؟ مش إحنا قبل
  شوي حكينا إنّه frequency of words كل document معبر عنّه مثلاً كم مرة
  تكرّرت كل كلمة. بس الـ tfd-idf وهذا إشي قوي ويستخدم كثير في الـ NLP،
  مش راح أنا أشرح لكم أخدته بس يعني خلّيوا في بالكم، هو أصلاً class في
  الـ Python، إيه؟ اه، بس بدك تتعبّب زيادة شوي، نقرأ عن الـ TF-IDF،
  تمام؟ ممكن أوفّر لك material أو video، وبعث لك إياه، بس سهل الـ
  concept منّه، الـ TF، شو الـ TF كم مرّة ذكرت الكلمة في الـ document؟
  كم مرّة ذكرت الكلمة في الـ document الواحد؟ الـ IDF، الـ IDF كديش
  مهمّة الكلمة لأنها بتنذكر في عدد قليل من الـ documents. إذا بتضربهم في
  بعض، بعطيك همّية للكلمة في document معين. فإذاً، افرض أنه في عندي أنا،
  بس خليني إذاً لو هيك نرتب الأمور شويّة. ها شو في عندك إنت؟ بدك تجهّز،
  الدوكيومنت اللي عندك بدك تجهّزهم كأرقام عشان تبعثهم للمشين لاردن
  ألغوريثم. هون شو بكون في عندك؟ اللابل. هدك اللابل. C1 C2. هون شو بكون
  في عندك؟ قبل شوي أول محاضرة أخذنا كاونت فيكتور، كاونت فيكتور يعني كم
  مرة إذا كان عندك الكلمات مرتبات هيك، خلينا نفترض إنه A, the, the, is,
  run إلى آخرين. كم عدد الكلمات؟ V مصبوط بعدد الكلمات المختلفة، إلهم هذا
  الترتيب. الـ column الأول لمين بكون محجوز؟ للـ A. الثاني للـ the
  وهكذا. ممكن يكون حجم الـ vocabulary 5000 أو أكثر طبعاً. أو أكثر طبعاً.
  أول method وأبسط method عشان أحول الكلمات لأرقام الـ count vector. هون
  ذكرت مرتين، هون مرة، هون عشرة إلى آخر. هاي أبسط method. اللي أعقد منها
  حبة Tf, Idf. TF-IDF، وبستخدموه كثير by the way for feature
  representation. TF-IDF، يعني شو معنى القيمة اللي هون؟ القيمة اللي هون
  اللي هي طبعاً للـ Document D1. TF-IDF للكل لـ لـ كيف رتبههم بالعادة؟
  مش مشكلة، للـ document D1 عند الكلمة إيش؟ a. ممكن تكون هاي قيمة زي
  هيك، 2 point، ظاهر رح تكون 0، ليش رح تكون 0؟ لأنه الـ a لأنه الـ A
  تنذكر في كل الـ Documents، فـ الـ IDF منها رح يكون 0، بس لو أخد الـ A
  أخد كلمة run، Tf IDF لـ run في Document 1، ممكن تكون قيمة زي هيك، هلّا
  هاي القيمة من وين جاية؟ من وين جاي؟ 2.5 جاي من عملية ضرب. الـ tf لكلمة
  run طبعاً بعد ما تتحول لـ بعد ما يتاخذها الـ log، من عمل dampening
  إلها، في معادلة. بس هي هاي بتمثّل الـ frequency يعني. الـ frequency
  للكلمة، لكلمة run في الـ document D1. document D1 ممكن تكون 1.5، طبعاً
  الـ frequency بتكون الشاكة، كسر، بس لما تأخذ الـ look الـ account
  بتحول، الـ IDF الـ IDF بيكون عمستوى الـ corpus مش عمستوى الـ document،
  الـ IDF لكل متران ممكن يكون كم؟ تكون كم؟ كلمة run هاي بتتكرر في كل الـ
  documents؟ لا، ممكن تتكرر في عشرة، فممكن، فبالتالي ممكن تكون هاي
  عاليش، 2. فلما تضرب هذولة في بعض، بطلع عندك الـ t of idf لكلمة run في
  document d1، ممكن تكون 3 إذاً. فإذاً عند كل document document عند كل
  document لكل كلمة أنا قدرت أحسب قيمة، هاي القيمة شو بتعكس؟ بتعكس
  شغلتين، كديش الكلمة هاي متكررة في الـ document و كديش هي نادرة في كل
  الـ course بشكل عام، لأنه نترتها مهمة بتعكس الـ topic بالعادة، بلاص.
  class. هلّا هي في الـ Python مثلاً في عندك class واحد، تعطيه الـ
  document، تعطيه كل شيء مع شوية parameters بيحسب لك كل هدول الـ vectors
  عمستوى الـ codes. بس لازم يكون عارفين الـ semantics إلّا. فيك في الـ
  tf, idf مهم في الـ nlb برضو، لازم نعرف معناه، وشو فكرة كل واحد منه؟
  ايه؟ تفضل. ‫بالتفضل. ‫بالضبط، وقل حدوث هاي الكلمة في الـ Document
  الثانية، ‫إذا تكررت كثير الكلمة في الـ Document، ‫وقل حدوثها وظهورها
  في الـ Document الثانية، ‫برتفع كثير الـ TF هذه. يعني بكل أقارن مش
  دائماً stop words إنك تشيلها وتتخلص منها مهم حسب الـ NLP task. In
  practice, most naive-based algorithms use all words and do not use
  stop word lists. board lists. sentiment and binary naive base. طيب
  ناخد بس مقدمة و بعدين ناخد استراحة. إذاً نراجعكم شو هو الـ sentiment
  analysis. analysis. هاي task مهمّة في الـ NLP. وعطيني انطباع الـ users
  عادةً عن documents موجودة بالعادة، وإلّها special cases زي ما راح
  نشوف. هلّا كيف دا استخدم الـ naive base في الـ sentiment analysis؟ كيف
  ننطور عليه لتو؟ أقول لك هون أفترض إنّه في عندك في عندك كم في الـ
  training dataset مجموعة من documents 1, 2, 3, 4, 5، 3 منهم negative.
  الـ user هو يكتب كان عنده انطباع سيّة، في عندك 2 users أعطوا انطباع
  جيّد، يعني positive positive. الـ shoot task إذا شو التاسك؟ إنك تبني
  من هاي الـ training dataset لما تعطيه document جديد تحدد لك شو الـ
  polarity إلو. دوّا جميع، ولهذا كله أخدناه. كله أخذناه، بس نفترضه بس،
  كله أخذناه. برامتر estimation، بعدين inference عمل. هاي التريننج data
  set، هون عشان يحسب الـ prior، احتمالية كل class. ليش 3 ع 5؟ 3 من 5، 2
  ع 5، 2 من 5. Likelyhood، طبّق تطبّق relative frequency مع laplacean
  smoothing. عند كل كلمة، شوف، إنت بدك تشوف، بدك طبعاً هو ما عملش
  enumeration لكل الكلمات هون، بس بدك تشوف كل الكلمات المختلفة اللي هون،
  شايفين؟ كل الكلمات المختلفة بدك تحسب احتمالية كل واحد فيهم عند كل
  class. كل class. فهون أخذ هو بس ثلاثة، بس حسب لك عند predictable و no
  و fun. حسب لك test case. آه بس ركز على الكلمات اللي في الـ test case،
  تمام، ما أخذش كل الـ parameters، بس هو إذا بدك إنت تحسب الـ
  parameters، بدك تحسبها على كل الكلمات، بس هون فعلاً هو أخذ الكلمات
  اللي موجودة الموجودة في التست، أهمل مثلاً الـ wealth. فإذا من كل هدولة
  شاف احتمالات الـ predictable given minus، كيف حسبها هاي؟ منين جات الـ
  14 مثلاً؟ negative. نيقاتيف، خلينا نعدّهم 1، 2، 3، 4، 5، 6، 7، 8، 9،
  10، 11، 12، 13، 14، فيّعني؟ طيب منين جات الـ 20؟ عندّي الكلمات
  المختلفة في الـ Training Dataset، هاي الـ 1 عرفنا منين جات، شو يعني 1
  هاي؟ يعني هاي انذكرت مرّة واحدة مرة واحدة، مرة واحدة في الـ negative.
  وهكذا. يعني إذا بدك تتأكد إنه شغلك صح، لازم هدول كل الـ probabilities
  هدول عند class negative لكل الكلمات طبعاً يكونوا sums up to 1. 16 16
  17 18 19 20 21 بس هاي تكررت تكرر، آه 19 20 آه، هاي بعد هاش. آه، نقرأ
  بس هنعم. هني؟ نعم. أنه، هلأ شو عمل هون بالآخر؟ هون بلّش يستخدم الـ
  inference، لأنه جهّز الـ model parameters. كيف طلعت هاي؟ هو ضربهم ضرب
  الـ probabilities أعتقد، ما أخدش الـ log لأنه عددهم قليل، عدد الكلمات
  قليل. قليل، فبالتالي طلع عنده two probabilities، هذا الـ inference،
  تذكروا له الـ probability للـ class و الـ probability للـ document
  given للـ class، الـ argmax، نشوف أنه الـ class اللي باعطى أعلى
  probability من الـ two classes هدول، و classes هدول. الـ negative ليش؟
  هون 2 في 2 في 1. أيها 2 في 2 في 1. ولو قام مجموعة هدول الـ 2 مع بعض
  طبعاً ضربهم في بعض 3 مرات لأنه عنده 3 كلمات. 3 كلمات. أني بتطلع على
  positive. فإذاً الجواب إنه الـ class positive. طب، حد عندي سؤال لحد
  هون؟ آه حكسناهم إحنا؟ آه سري هاي 6 هاي 3. 6 هاي 3. نسلل الصيام شكله.
  إذاً هاي أعلى. الجواب مينز. طب ما نأتي نوخذ إصطلاحي جماعة. 10 دبائق
  ونكمل. تمام يا جماعة. نعود. Okay. Optimizing for sentiment analysis
  إذاً يعني تطبيق الـ simple approach اللي شفناه قبل شوي ممكن ما تفيدنا
  كثير في الـ sentiment analysis لأنه إلها اعتبارات معينة. معينة، خلّنا
  نستعرض بعضها. إذن for tasks like sentiment, word occurrence seems to
  be more important than word frequency. يعني ظهور كلمة مهم أكثر منه كم
  مرة تكررت، once لها ظهرت كلمة fantastic مثلاً، حتى لو انذكرت مرتين أو
  ثلاث، خلّص، المهم منها ظهرت في الـ document ممكن تعطينا انطباع.
  الانطباع. The fact that it occurs five times may not tell us much
  more. إذن هيك بلّش يروح ويحكوا عن الـ binary multinomial naive base or
  binary NP. Clip our word counts at one. يعني بشوف كل document. إذن
  ذكرت فيه الكلمة خمس مرات 5 مرات بشوفها زي كنا نذكرها مرة واحدة فقط،
  هاد هو الـ binary multinomial naive base. يعني كيف بتغير الـ algorithm
  اللي شفناه قبل شوي عشان أحسب الـ model parameter؟ بضيف هاي بس. remove
  duplicates in each document for each word type W in document J.
  document جه. يعني إنت مش دمجنا كل الـ documents إلو بنفس الـ class الـ
  mega document واحد. لا، قبل ما أدمج طريقة. إذاً كل document بشوف
  الكلمات المتكررة فيها تكررت أكثر من مرة، بخليها مرة واحدة فقط، بعدين
  بكمّل الـ process زي ما هي. ‫سيماهي. ‫هنا ما عطيني مثال، وورجيني شو
  يعني؟ ‫هاذ شايف يعني two documents negative و two documents positive.
  ‫وهاي الـ counts هيك كانت. ‫ـ And مرتين في الـ positive، zero في الـ
  negative، إلى آخر. ‫هذا بدون الـ clipping. only clipping. After
  pre-document binarization، تلف الوضع عندي هون شوي. صارت الـ counts
  مختلفة. لاحظوا هون كانت 3، هون شو صارت؟ 2. وهكذا. وهكذا إذاً counts
  can still be 2, binarization is within document. هون على مستوى الـ
  document البناني. يعني في الـ document الواحد بدأ ما تنذكر مرتين بخليه
  بشوف إذا كانها مرة واحدة. بس شو يعني الـ 2 هذي بده يحكي لك؟ ليش counts
  can still be 2؟ أكثر من document فيهم، أكثر من document في هذا الـ
  class فيهم كلمة great. great. فعلاً هون احنا هون الـ positive. وهي هم
  على البرت. مرتين. مرتين. إذاً اللي بدي أكتلك هي إنه الـ binary
  multinomial naive-based وجدوا إنه بعطوا نتائج في الـ sentiment
  analysis أفضل بعد ما عملنا هذا الـ trick صغير، لكن الـ sentiment
  analysis و الـ sentiment classification برضه في كثير الـ tweaks you
  can conduct conduct بتعطيك نتائج أفضل، مثلاً dealing with negation،
  هلأ والله مثلاً في كلمة like في الـ review، وأنا حطّلت قبلها didn't
