========================================================================
TRANSCRIPTION REPORT
========================================================================
Fine-tuned model : ./whisper-merged-ar-ps
Baseline model   : openai/whisper-large-v3
Audio directory  : data/audio
Lectures         : 2
Total segments   : 300

━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━
Lecture : NLP_20260221
  Segments total  : 221
  Flagged         : 7
  Duration        : 4848.4 s
  Segs w/ ref     : 221

  Model                      WER (raw)   WER (norm)  CER (raw)
  ───────────────────────── ────────── ──────────── ──────────
  Baseline (large-v3)           0.7138       0.5914     0.4572
  Fine-tuned                    0.3899       0.2201     0.1755
  Improvement                  +0.3240      +0.3713    +0.2818

  Auto-flagged segments:
    segment_029: ['repetition_loop (ratio=0.99)', 'high_cer (cer=1.56)']
    segment_055: ['repetition_loop (ratio=0.97)', 'no_arabic (arabic_ratio=0.03)', 'high_cer (cer=1.48)']
    segment_154: ['repetition_loop (ratio=0.89)', 'too_dense (wps=8.33)', 'high_cer (cer=4.48)']
    segment_162: ['no_arabic (arabic_ratio=0.00)']
    segment_171: ['too_sparse (wps=0.21)']
    segment_202: ['too_sparse (wps=0.10)', 'high_cer (cer=0.74)']
    segment_209: ['repetition_loop (ratio=0.99)', 'too_dense (wps=8.63)', 'high_cer (cer=11.12)']

  Segment details:
  ID                   Dur(s)   WER-FT   WER-BL   CER-FT  Flag
  segment_026            23.6   0.2258   0.7258   0.0385    no
  segment_027            24.6   0.2245   0.4490   0.0517    no
  segment_028            21.6   0.3617   0.8298   0.0830    no
  segment_029            24.7   2.8250   0.5750   1.5569   YES
  segment_030            21.3   0.3415   0.9024   0.0895    no
  segment_031            24.4   0.2353   0.6863   0.0586    no
  segment_032            24.9   0.4231   0.6923   0.1175    no
  segment_033            23.9   0.1395   0.3721   0.0272    no
  segment_034            22.7   0.1702   0.7872   0.0524    no
  segment_035            22.5   0.1207   0.5517   0.0545    no
  segment_036            23.9   0.2075   0.3585   0.0732    no
  segment_037            23.1   0.2609   0.5000   0.0916    no
  segment_038            22.4   0.2449   0.5306   0.0699    no
  segment_039            23.0   0.1522   0.6304   0.0480    no
  segment_040            23.9   0.2549   0.5882   0.0674    no
  segment_041            22.0   0.2045   0.7955   0.0413    no
  segment_042            23.4   0.2414   0.8793   0.0823    no
  segment_043            17.1   0.2000   0.4286   0.0784    no
  segment_044            22.1   0.2000   0.7500   0.0407    no
  segment_045            24.8   0.3455   0.9818   0.0951    no
  segment_046            24.1   0.1087   0.6739   0.0383    no
  segment_047            23.1   0.2264   0.7736   0.1021    no
  segment_048            23.3   0.2264   0.6415   0.0631    no
  segment_049            18.7   0.3889   0.7778   0.1197    no
  segment_050            24.8   0.1250   0.6458   0.0358    no
  segment_051            21.8   0.3125   0.9062   0.1005    no
  segment_052            19.7   0.1364   0.6591   0.0747    no
  segment_053            22.5   0.2444   0.8667   0.0988    no
  segment_054            22.9   0.2041   0.6735   0.0368    no
  segment_055            18.2   2.6829   0.8293   1.4764   YES
  segment_056            23.3   0.2093   0.6977   0.0571    no
  segment_057            21.5   0.4324   0.7838   0.1883    no
  segment_058            23.2   0.1702   0.3404   0.0682    no
  segment_059            16.4   0.1429   0.5429   0.0674    no
  segment_060            23.1   0.3095   0.6905   0.1121    no
  segment_061            22.2   0.2286   0.7429   0.0806    no
  segment_062            20.5   0.4545   0.7727   0.2911    no
  segment_063            20.7   0.2041   0.8163   0.0989    no
  segment_064            21.0   0.3846   0.9231   0.1443    no
  segment_065            24.1   0.3200   0.4800   0.1690    no
  segment_066            22.6   0.3696   0.6957   0.1162    no
  segment_067            18.3   0.3200   0.6000   0.1176    no
  segment_068            22.9   0.2333   0.9667   0.0714    no
  segment_069            19.7   0.3429   0.7714   0.0816    no
  segment_070            17.9   0.3939   0.6364   0.1327    no
  segment_071            23.4   0.1957   0.5652   0.0630    no
  segment_072            22.5   0.3182   0.6136   0.1594    no
  segment_073            22.5   0.1860   0.9070   0.0514    no
  segment_074            24.2   0.0889   0.8000   0.0309    no
  segment_075            24.2   0.2593   0.4444   0.0928    no
  segment_076            23.2   0.2549   0.6667   0.0671    no
  segment_077            24.3   0.2222   0.4889   0.1037    no
  segment_078            22.7   0.1875   0.5208   0.0582    no
  segment_079            22.4   0.2391   0.4348   0.0846    no
  segment_080            19.6   0.2571   0.6286   0.0550    no
  segment_081            21.7   0.2128   0.3830   0.0600    no
  segment_082            21.7   0.2195   0.8049   0.0772    no
  segment_083            25.0   0.3784   0.7838   0.1937    no
  segment_084            23.1   0.3571   0.7619   0.1528    no
  segment_085            23.8   0.2979   0.5745   0.1130    no
  segment_086            21.4   0.3415   0.6585   0.1739    no
  segment_087            20.9   0.2941   0.8824   0.0846    no
  segment_088            22.5   0.3000   0.7500   0.0844    no
  segment_089            24.8   0.2857   0.6429   0.0752    no
  segment_090            19.0   0.1591   0.7273   0.0484    no
  segment_091            22.5   0.0270   0.7838   0.0098    no
  segment_092            21.6   0.2444   0.6889   0.0622    no
  segment_093            23.7   0.2895   0.5263   0.0663    no
  segment_094            20.6   0.2791   0.6047   0.1275    no
  segment_095            22.5   0.3636   0.8182   0.1298    no
  segment_096            20.1   0.2333   0.6333   0.0421    no
  segment_097            24.2   0.1667   0.7500   0.0314    no
  segment_098            25.0   0.1176   0.5098   0.0469    no
  segment_099            21.5   0.1250   0.4375   0.0429    no
  segment_100            21.7   0.1333   0.6000   0.0390    no
  segment_101            23.9   0.2286   0.7429   0.0537    no
  segment_102            23.6   0.2564   0.8718   0.1447    no
  segment_103            24.3   0.2128   0.5532   0.0754    no
  segment_104            21.4   0.2432   0.5676   0.0781    no
  segment_105            23.8   0.1944   0.5278   0.0462    no
  segment_106            23.4   0.2143   0.7381   0.0820    no
  segment_107            19.9   0.2000   0.6667   0.1047    no
  segment_108            21.3   0.2250   0.7250   0.0464    no
  segment_109            24.5   0.3953   0.6512   0.1568    no
  segment_110            23.8   0.3261   0.6739   0.0992    no
  segment_111            23.3   0.4167   0.7917   0.1181    no
  segment_112            23.8   0.2727   0.6364   0.0917    no
  segment_113            24.2   0.4545   0.8182   0.2073    no
  segment_114            24.8   0.1633   0.5918   0.0702    no
  segment_115            24.0   0.1944   0.6389   0.0581    no
  segment_116            22.1   0.5333   0.9000   0.1895    no
  segment_117            21.1   0.1795   0.5385   0.0591    no
  segment_118            24.1   0.2931   0.9138   0.0691    no
  segment_119            23.1   0.2162   0.7568   0.0723    no
  segment_120            20.2   0.3396   1.3774   0.1777    no
  segment_121            20.4   0.1333   0.7333   0.0573    no
  segment_122            15.6   0.1579   0.5263   0.0722    no
  segment_123            15.5   0.6071   0.7143   0.2848    no
  segment_124            23.0   0.2571   0.7714   0.0737    no
  segment_125            24.5   0.2778   0.6481   0.1326    no
  segment_126            14.2   0.2632   0.7895   0.1683    no
  segment_127            17.6   0.2619   0.6429   0.1036    no
  segment_128            20.2   0.2667   0.7333   0.0876    no
  segment_129            22.2   0.2667   0.5667   0.1234    no
  segment_130            24.2   0.6042   0.6667   0.5269    no
  segment_131            23.4   0.2292   0.6667   0.0927    no
  segment_132            14.7   0.4242   0.4848   0.1326    no
  segment_133            24.3   0.0909   0.4848   0.0293    no
  segment_134            22.1   0.2157   0.4706   0.0726    no
  segment_135            23.7   0.3556   0.7778   0.1356    no
  segment_136            20.9   0.1944   0.4444   0.0582    no
  segment_137            23.3   0.1000   2.3000   0.0355    no
  segment_138            22.4   0.1818   0.6061   0.0545    no
  segment_139            20.5   0.1351   0.5676   0.0394    no
  segment_140            22.2   0.2188   0.8438   0.1067    no
  segment_141            24.9   0.1667   0.5333   0.0529    no
  segment_142            20.5   0.2000   0.5429   0.1402    no
  segment_143            22.3   0.2703   0.5135   0.0585    no
  segment_144            24.1   0.2791   0.7907   0.0826    no
  segment_145            20.4   0.3659   0.5610   0.1408    no
  segment_146            23.9   0.1591   0.5682   0.0545    no
  segment_147            21.4   0.1707   0.8293   0.0586    no
  segment_148            24.3   0.3774   0.5472   0.1018    no
  segment_149            18.5   0.3750   0.4375   0.2071    no
  segment_150            24.1   0.2286   0.5143   0.1183    no
  segment_151            25.0   0.2609   1.0000   0.0735    no
  segment_152            21.9   0.2391   1.4565   0.0797    no
  segment_153            24.7   0.1905   0.6667   0.0474    no
  segment_154            24.0   6.6429   0.8571   4.4845   YES
  segment_155            23.2   0.2368   0.7105   0.0980    no
  segment_156            22.6   0.2791   0.3023   0.0711    no
  segment_157            23.2   0.2222   0.6852   0.0806    no
  segment_158            22.4   0.3636   0.5758   0.1966    no
  segment_159            20.9   0.4348   1.6304   0.1806    no
  segment_160            23.3   0.2857   0.7429   0.1135    no
  segment_162            23.3   0.0667   1.0667   0.0600   YES
  segment_163            23.8   0.6250   0.7500   0.3551    no
  segment_166            21.9   0.2353   0.8529   0.0737    no
  segment_167            18.6   0.4250   0.6750   0.1336    no
  segment_168            22.0   0.3333   0.6667   0.1625    no
  segment_169            23.9   0.3704   0.7778   0.1765    no
  segment_170            24.6   0.4167   0.7083   0.1680    no
  segment_171            14.4   0.6667   1.0000   0.1538   YES
  segment_172            18.5   0.0714   0.9286   0.0117    no
  segment_173            20.8   0.1961   0.7059   0.0748    no
  segment_174            23.3   0.3556   0.9111   0.1255    no
  segment_175            22.8   0.2553   0.6809   0.0973    no
  segment_176            20.3   0.3043   0.7174   0.1046    no
  segment_177            22.1   0.3095   0.6667   0.0963    no
  segment_178            20.7   0.2917   0.7917   0.1095    no
  segment_179            24.4   0.2623   0.7869   0.1073    no
  segment_180            12.1   0.5455   1.0000   0.2542    no
  segment_181            24.7   0.2326   0.7442   0.0538    no
  segment_182            23.0   0.1915   0.5532   0.0480    no
  segment_183            18.8   0.2500   0.9444   0.0711    no
  segment_184            21.1   0.2105   0.4474   0.1126    no
  segment_185            24.2   0.2424   0.6667   0.0466    no
  segment_186            21.6   0.2143   0.7857   0.0987    no
  segment_187            23.2   0.2500   0.6000   0.0563    no
  segment_188            24.9   0.2069   0.5517   0.0545    no
  segment_189            22.3   0.2800   0.6800   0.0993    no
  segment_190            19.8   0.1190   0.5476   0.0193    no
  segment_191            16.5   0.2069   3.4138   0.0459    no
  segment_192            23.3   0.2500   0.5000   0.0925    no
  segment_193            20.3   0.1395   0.6279   0.0425    no
  segment_194            21.3   0.2439   0.8537   0.0826    no
  segment_195            23.3   0.2558   0.5814   0.0685    no
  segment_196            21.4   0.1515   0.8788   0.0925    no
  segment_197            24.0   0.3478   0.9783   0.1279    no
  segment_198            18.7   0.2353   0.6471   0.0872    no
  segment_199            22.3   0.1042   0.4583   0.0755    no
  segment_200            24.7   0.2326   0.9767   0.0519    no
  segment_201            24.9   0.2581   0.5000   0.0841    no
  segment_202            19.4   1.0000   1.0000   0.7368   YES
  segment_203            18.7   0.2174   0.3478   0.0493    no
  segment_204            18.1   0.0909   0.5758   0.0156    no
  segment_205            21.7   0.3542   0.8125   0.1418    no
  segment_206            23.7   0.1600   0.9000   0.0515    no
  segment_207            23.9   0.2800   0.3400   0.0688    no
  segment_208            13.7   0.4615   0.7692   0.1831    no
  segment_209            25.5  18.2500   0.9167  11.1154   YES
  segment_210            22.1   0.3889   0.4167   0.0833    no
  segment_211            24.4   0.2642   0.8491   0.0915    no
  segment_212            20.5   0.2326   0.7674   0.0690    no
  segment_213            23.7   0.1964   0.5357   0.0592    no
  segment_214            22.4   0.3611   0.9722   0.0976    no
  segment_215            21.7   0.1905   0.8095   0.1051    no
  segment_216            21.9   0.2444   0.3778   0.0821    no
  segment_217            23.2   0.2245   0.4898   0.0778    no
  segment_218            19.1   0.3929   0.6071   0.1250    no
  segment_219            22.6   0.1000   0.7250   0.0439    no
  segment_220            24.4   0.1452   0.7419   0.0470    no
  segment_221            25.0   0.2708   0.3125   0.0824    no
  segment_222            24.1   0.3077   0.6410   0.1204    no
  segment_223            19.5   0.4138   0.6207   0.1010    no
  segment_224            24.9   0.3148   0.6296   0.0939    no

  Full transcript (fine-tuned, unflagged segments):
  --------------------------------------------------------------------
  السلام عليكم، ونبدأ محاضرتنا اليوم. موضوعنا اليوم في مادة الـ Natural
  Language Processing اللي هو الـ text classification بشكل عام، ورح
  نتكلم برضه على الـ sentiment analysis as a special case for text
  classification. طبعاً موضوع مهم في عالم الـ natural language
  processing، بجوز يعني أول ما إنت تسمع كلمة text classification، تختر
  في بالك تطبيقات كثيرة. classification عارفينه من الـ machine learning،
  إنّي أنا معي عندي مجموعة من الـ classes بعطيني document، وهاضا الـ
  document اللي هو أصلاً مكوّل من tokens وكلمات كيف بدّي كيف بدّي أعملّه
  assignment لإحدى الـ classes اللي موجودة بين إيدي. ظاهر أمامنا مثلاً
  إحدى التطبيقات spam email detection. إذاً الـ emails اللي بتوصلني كيف
  إشي بروح منها على الـ inbox وإشي بروح منها على الـ spam؟ هاي machine
  learning process، ممكن تكون rule-based process، لكن في الغالب في
  الغالب نضطر نبني machine learning based application classifier that
  can classify whether the email is spam or not، وعنّا أكيد بتخطر في
  بالك شغلات كثير، زي شو الكلمات اللي موجودة في الـ email؟ هل في إشي
  منها بدل إنّه spam ولّا لأ؟ مين المرسل؟ كل هاي الشغلات اللي بتخطر في
  بالك في features إنت بتوظّفها توظّفها في الـ machine learning process
  اللي بتحاول تبنيها. تطبيق آخر مثلاً إنّه الـ author identification،
  تعطيني مجموعة من الـ documents، مجموعة من الـ articles، والـ task شو
  هي؟ شو هي؟ أنا أحكيلك هاد الـ article أنا اللي ألّفه، مين الـ author،
  من مجموعة من الـ authors تكون محددة عندي مسبقاً. طبعاً كل author بيكون
  إلّه منشورات سابقة، article سابقة، هلّأ بنبني classifier يتعلم طريقة
  كتابة كل author، شو عادة من الكلمات اللي بيستخدمها والمصطلحات اللي
  بيذكرها في الـ document اللي بتستاعونه، وقتها بيصير بصير الـ
  classifier قادر إنّه يميّز document جديد لأي من هدول مثلاً الـ
  authors. ... positive or negative movie review؟ طبعاً إحنا رح نفوت في
  تفصيل أكثر، بلسبيل الله هاي الـ task تحديداً، باختصار هي الـ sentiment
  analysis. analysis يعني بتكون الفكرة وإنّه في عندك مجموعة من
  documents، reviews، sentences بدّك تصنّف كل وحدة شو الـ sentiment
  polarity إلها. polarity إلها. هل الـ user هو يكتب للجملة هاي كان
  انطباعه جيّد، ولّا سيّئ؟ كان مبسوط ولّا حزين؟ طبعاً ذكرنا في أول
  محاضرة أهمية الـ sentiment analysis وتطبيقاته، والفكرة منّه، لكن
  بالمحاضرة هاي بدنا نفوت في عمق أكثر أكثر، إيه فمكّنّه نبني models
  تتناسب مع الـ sentiment analysis. يعني مثلاً في عندك هون مجموعة من الـ
  reviews، أوّل وحدة unbelievably disappointing، واضح إنها هاي negative،
  وبدنا الـ system يصنّفها as negative، الثاني positive لإنّه في
  mentioning فيها لكلمات positive، الثالثة positive positive، الرابعة
  negative. يعني إنت ممكن يخطف بقالك أوّل ما تشوفش إزاي هيك، okay، إنت
  أعطيني مجموعة من الـ reviews positive ومجموعة من الـ reviews
  negatives، وأنا بدّي أخليه يلاحظ شو الكلمات اللي بالعادة بتنذكر مع الـ
  positive بأكثر تكراراً، ووقتها بيكون في عندي classifier classifier. بس
  تتبين إنّه هاي الـ task is not as easy as we have already mentioned،
  لإنّه في كثير عوامل، بتدخل في الموضوع راح نذكر بعضها. what is the
  subject of the article؟ هاي إحدى الـ classification problems، بتعطيني
  مجموعة من articles articles، أعطيك subject إلها، بتقلّي طب أنا شو يعني
  هل هي مهمّة هاي الـ task؟ ده اللي اشتغلوا في الأنظمة أكيد واجهوا مثلاً
  مجموعة هائلة من الـ documents، خزّنوها والله في repository عندهم، لكن
  هاي ممكن تكون مئات الألاف، وانطلب منهم إنّه لازم يكون في عنوان. في
  عنوان أو subject أو general بيسموها، لكل article. هل أروح manual يمسك
  كل article وأكتب له عنوان أو أحدد الـ subject؟ لا، لازم أكون أستخدم
  إشي smart NLP-based application، يقرأ الـ document، ويحاول مثلاً
  يعملها mapping لأحد الـ classes، لأحد الـ subjects. الـ subjects. ورغم
  هذا موضوع مهم، حتى هون اللي بنحكي فيه إحنا كلّه supervised machine
  learning، يعني بتخيّل عندي أنا training dataset annotated وبني
  classifier، بس هاد اللي هو الـ subject الـ subject identification حتى
  في إلّه track كبير unsupervised. unsupervised. topic modeling اسمه،
  إذاً إنّك بدون ما أعطيك أنا training dataset تحدّد تفصل الـ documents
  لـ different topics، subjects. subjects. ... إذاً هاد هو الـ في
  تطبيقات إذاً عدّة، ممكن تخيّل إحنا الـ text classification كتير في
  fields بتستخدموه، زي تحديد الـ subjects، زي ما حكينا لكم واثرنا شو بـ
  identification، language identification، هتعطيك نصوص وتقلّي كل نص ضمن
  أي language، sentiment analysis analysis إلى آخره. هلّا نفوّت في الـ
  problem definition، طبعاً very straight، very concise وواضحة شو الـ
  problem، يعني شو الـ input وشو الـ output. عندي أنا document وعندي
  مجموعة من الـ classes، وظيفتي إنّي أبني model عند هاد الـ document
  يحكيلي يتبع لأي class. عيّة class. ... okay. ... هلّأ في كثير methods
  منبنت عالـ text classification. rule-based. ... okay إذاً زي ما حكينا
  في methods ممكن تكون بسيطة في الـ classifications، methods أخرى أكثر
  تعقيداً، بلّش في الـ classification في الـ rule-based rule-based on
  combination of words or other features. شو يعني؟ يعني مثلاً خد spam
  email detection، وقلّك كان يحط rules مش machine learning، إذا الـ
  email انوجد فيه مثلاً كلمة dollar أو millions، أو إذا الـ email كان
  جاي من address أنا بعرف already هو من الـ blacklist إلى آخره، if-else
  if-else rules rules باستخدام إحدى الـ dictionaries، lexicons يعني
  مجموعة من الـ emails هذول blacklists، إلى آخره، هيدمجوهم مع بعض بطريقة
  إنّه صرت لو أعطيه email إحكيلي، هل هو spam or non-spam؟ مش مش machine
  learning، هاد بقلّك إيش؟ أعطى نتائج، ممكن تكون الـ accuracy can be
  high، والـ precision تحديداً إنّه الـ once إنّي حكيت إنّه هاد in very
  specific domains طبعاً. If rules are carefully redefined and crafted
  by the experts. بس شو المشكلة في الـ rule-based؟ building and
  maintaining rules is expensive، يعني أكيد الـ hackers أو الـ intruders
  بحاولوا دائماً يخلقوا كلمات جديدة، مصطلحات جديدة، يكسروا الـ rule
  تبعتك، فبدّك إنت to to continue to continuously maintain الـ rules
  هاي، بظلّك بظلّك التركيبة الـ rules اللي حطّيتها تفحصها هل still valid
  ولّا لأ؟ بدها جهد. they are too literal and specific. high precision
  low recall. شو يعني؟ يعني أكيد في إيميلات كثير spam بس إنت مش قادر
  تكتشفها لإنّه الـ rules اللي حطّيتها بس مخصّصات عند أكم إيميل إنت
  شفته. فالـ recall بيكون واضح بالعادة. نواط بالعادة. هلّأ هو دائماً
  اللي بحدّد هل الـ email spam ولّا لأ مش rule وحدة ولّا تنتين تحبتهم
  فيه if-else، لأ عدد كبير من الـ features together with each other each
  other بتقدر إنت تحدّد بدقّة عالية هل هو spam or not، لكن إنت بتقدرش لو
  أعطيتك 100 feature تشبكهم مع بعض في equation ولّا في if-else if-else،
  صعب جداً كـ human إنّك تعرف كيف كل feature بيأثر عالثانية، وتحط مثلاً
  tree تبنيهم في tree إلى آخره. وبالتالي بدّك machine learning process،
  عشان هيك تركيز على الـ supervised machine learning learning. بكون عند
  الـ document مجموعة من الـ classes و training dataset، كيف شكل الـ
  training dataset؟ بتكون كل document مع الـ class اللي هي فيها، شكل
  جدول، إذاً آخر colon اللي هو الـ class، مثلاً c1، c2، إلى آخره، اللي
  هون بتكون هي الـ document بالكلمات اللي بتكونها. لي بتكونها، كلمات
  اللي بتكون كل document. فإذاً training dataset، tables of documents،
  classes pair، شو وظيفتك إنت؟ to learn a classifier function، model،
  تبني هاد الـ model من الـ training dataset، هات إنّه إذا بتعطي إنت
  document جديد يحدّد لك شو الـ class اللي إله. vector machine، كلها هاي
  machine learning algorithms بتطبّقها عالـ training dataset حتى تبني
  الـ model. طبعاً هالأيّام في طرق يعني أحدث رح نيجيها بآخر الفصل، اللي
  هي الـ large language model وكيف أنا بدّي أطوّعها، عمّلّي fun tuning
  حتى تشتغل as a classifier classifier، كيف ممكن بعضها إنّي أعطيه شويّة
  prompt، سيشتغل كـ strong برضه classifier، لكن إحنا بدّنا بنمشي بالـ
  basic approaches، نطلع شوي شوي في الـ models هذي. نشوف الـ Naive
  Bayes، أكيد سامعين في الـ Naive Bayes قبل هيك. الـ Bayes theorem،
  سامعين فيها مزبوط؟ أخذنا الـ probability theory theory، الـ
  conditional probability، الـ independence assumption في الـ
  probability، كل هاي المصطلحات اللي ذكرتها إذا نسيّه هبضلّه تراجعها،
  مضرورة تراجعها. ولحين ما نشوف الـ Naive Bayes فرح نشوف ليش سمّوه
  Naive، وكيف استخدم الـ Bayes rule حتّى يبني classifier effective حتّى
  في many scenarios، في كثير حالات بكون فعلاً بعطيك classification
  output output reliable. إذاً relies on very simple representation of
  documents، كل ما كنت، كل ما جبت هيك القاعدة العامة، طريقة simple وكانت
  تعطيك نتائج جيّدة، كل ما ضمنت إنّه الـ efficiency إلها عالية برضه،
  وبالعادة بتحتجش لا space كثير ولا computation power عالية. هوار عالي.
  فإحنا بدنا نبلّش نشرح عن الـ Naive Bayes ونشوف كيف استخدموه في الـ
  classification. وبرضه وهم تعرف أبسط الطرق شو الـ output اللي بتعطيك
  إياه عشان تعتبرها شو؟ baseline. كل ما اتطور إشي جديد بتتأمل إنّه الـ
  evaluation تبعه وأداء يكون أحسن من الـ baseline. من الـ baseline.
  عادةً في الأبحاث إذاً بدّك تطوّر إشي إنت text classifier، كيف بدّك
  تثبت للـ community إنّه شغلك مليح؟ بتروح تجيب إشي baseline، الـ Naive
  Bayes عادةً بيستخدموها as a baseline، بعطيك مثلاً accuracy كذا،
  F-score كذا، وهلّأ طموحك في أي algorithm more complicated أو أي تعديل
  على الـ model تبعك إنّه يكون نّه يكون يتحسّن يعطيك نتائج أفضل من الـ
  baseline. طيب عايش بيعتمد الـ Naive Bayes؟ ليش لمّه نيّيف بسيط أو ساذج
  أو simple؟ لإنّه بيعتمد على الـ model اللي هو back of words، يعني
  documents كيف بشوفهم؟ زي كإنّه سلّي من الكلمات، شو يعني سلّي من
  الكلمات؟ يعني بلغي تأثير ترتيب الكلمات الكلمات بالنسبة لبعض نهائياً،
  مع إنّه مش منطق ولّا لها، ترتيب الكلمات مهم وبعكس المعنى، بس تبين إنّه
  في حالات كثير، وجود الكلمة وتكرار هايكفي إنّك تبني classifier جيّد.
  إذاً هذا هو الـ back of words، في طبيعة الـ في طبيعة الأحوال إحنا نرتب
  الكلمات مهم كلمات مهمة، في كثير الـ applications، لكن خلينا نعمل
  relaxation لهذا الـ assumption هلّا، ونشوف كيف الـ Naive Bayes أعطانا
  نتائج مليحة. back of words يعني الكلمات هذول اللي إلهم ترتيب معي
  نحطّناهم في سلّة، إزاي كإنّا خلطناهم ببعض، بطّل الترتيب مهم، اللي
  بهمني وجود الكلمة وكم مرّة تكرّضت. مرّة كرّضت. وجودي الكلمة، إذاً أنا
  لاحظ شو عملت تقريباً؟ الـ document هاضا حوّلته لشو؟ لأرقام، مش هاضا
  اللي بدّي إيّاه؟ ولّا كيف بدّي أطبّق الـ machine learning algorithm
  لون ما أعمل هالـ هالحركة هادة؟ هاي من أبسط الطرق اللي إنت بتعمل فيها
  feature representation للـ document. للـ document، أبسط شو ممكن
  تتخيّله؟ في أبسط منها حبي شو هو؟ إنّك تمثّله يا 1 يا 0، إذا الكلمة
  موجودة أو مش موجودة. level أعلى إنّك الـ document، طبعاً انت نساش إنت
  بتكون قبلها شو عامل؟ text preprocessing، normalization، بنظّفها الـ
  noise، إلى آخره، بعدين بتطلّع معك شو؟ vocabulary of of terms، هاي الـ
  vocabulary، شو يعني vocabulary؟ يعني مجموعة الكلمات المختلفة بترتيب
  معيّن طبعاً، هاي تنساهاش، يعني الـ it، بعدين الـ i، طبعاً الترتيب اللي
  بدّك إيّاه، مش مهم أن يجد قبل الثانية، بس أنا بهمني إنّه أحط ترتيب
  معيّن وأضل ماشي عليه. ماشي عليه. ليه؟ عشان لمّا أجيب لك هاضا الـ
  document الاسمه d1، أمثلّب vector كيف بيكون شكله؟ 6 بعدين 5 بعدين 4،
  vector، vector of number. لإنّي إذا بغيّر ترتيب الكلمات شو بصير هون؟
  رح يتغيّر ترتيب الأرقام اللي هون، فإنا بثبّتهم مرّة وحدة، وبصير هاضا
  الـ document هاي الـ vector اعطانيها. document ثاني cumon ثاني، بعطيني
  vector ثاني، بنفس ترتيب الكلمات لكن مع اختلاف الـ frequency والأرقام.
  فإذاً هاي من أبسط شايف موضوع الـ feature representation، فلإنّا الـ B
  مهم، في عدّة طرق how to represent the feature. the feature. أبسط إشي
  عشان أحوّل الكلمات لأرقام، عد، وابني في vector. طبعاً ماله هاد الـ
  vector بيكون؟ ماله؟ كبير، high-dimensional، وهاي ممكن تكون مشكلة. طيب،
  خلينا إذاً هلّا تخيّلنا كيف نعمل representation للـ document باستخدام
  الـ back of word back of word. هون بتصير بتصير ببساطة هاد الـ model
